ENSG00000198888	MT-ND1
ENSG00000162631	NTNG1
ENSG00000078328	RBFOX1
ENSG00000124275	MTRR
ENSG00000075624	ACTB
ENSG00000174827	PDZK1
ENSG00000178750	STX19
ENSG00000178700	DHFR
ENSG00000135452	TSPAN31
ENSG00000050393	MCUR1
ENSG00000073670	ADAM11
ENSG00000162490	DRAXIN
ENSG00000120370	GORAB
ENSG00000139915	MDGA2
ENSG00000015532	XYLT2
ENSG00000151576	QTRTD1
ENSG00000114737	CISH
ENSG00000125848	FLRT3
ENSG00000103005	USB1
ENSG00000136560	TANK
ENSG00000205835	GMNC
ENSG00000132313	MRPL35
ENSG00000072364	AFF4
ENSG00000130023	ERMARD
ENSG00000188452	CERKL
ENSG00000092208	GEMIN2
ENSG00000211893	IGHG3
ENSG00000211893	IGHG2C
ENSG00000211893	IGHG1
ENSG00000211893	IGHG2B
ENSG00000185527	PDE6G
ENSG00000139508	SLC46A3
ENSG00000103449	SALL1
ENSG00000107882	SUFU
ENSG00000156232	WHAMM
ENSG00000167165	UGT1A6B
ENSG00000167165	UGT1A6A
ENSG00000167165	UGT1A7C
ENSG00000174502	SLC26A9
ENSG00000100225	FBXO7
ENSG00000070182	SPTB
ENSG00000185090	MANEAL
ENSG00000180340	FZD2
ENSG00000171557	FGG
ENSG00000166477	LEO1
ENSG00000183873	SCN5A
ENSG00000117632	STMN1
ENSG00000173083	HPSE
ENSG00000139921	TMX1
ENSG00000089692	LAG3
ENSG00000125730	C3
ENSG00000187889	1700024P16RIK
ENSG00000115392	FANCL
ENSG00000265491	RNF115
ENSG00000167778	SPRYD3
ENSG00000196139	AKR1C14
ENSG00000196139	AKR1C18
ENSG00000196139	AKR1CL
ENSG00000196139	AKR1C6
ENSG00000196139	AKR1C12
ENSG00000196139	AKR1C13
ENSG00000196139	AKR1C21
ENSG00000196139	AKR1C19
ENSG00000196139	AKR1C20
ENSG00000165972	CCDC38
ENSG00000065057	NTHL1
ENSG00000184155	OLFR16
ENSG00000169635	HIC2
ENSG00000183684	GM4308
ENSG00000183684	GM4307
ENSG00000183684	GM4312
ENSG00000183684	ALYREF
ENSG00000183684	GM4305
ENSG00000183684	GM9476
ENSG00000183684	GM4301
ENSG00000183684	GM20765
ENSG00000183684	GM8764
ENSG00000183684	GM21312
ENSG00000183684	GM4302
ENSG00000183684	GM21304
ENSG00000183684	GM6763
ENSG00000183684	GM4340
ENSG00000183684	ALYREF2
ENSG00000183684	GM4781
ENSG00000183684	GM21293
ENSG00000183684	GM4303
ENSG00000161849	KRT84
ENSG00000240720	LRRD1
ENSG00000107897	ACBD5
ENSG00000154727	GABPA
ENSG00000162736	NCSTN
ENSG00000132481	TRIM47
ENSG00000119632	IFI27L2A
ENSG00000119632	IFI27L2B
ENSG00000177576	BC031181
ENSG00000137100	DCTN3
ENSG00000126107	HECTD3
ENSG00000240682	ISY1
ENSG00000111481	COPZ1
ENSG00000225698	IGHV7-4
ENSG00000225698	IGHV7-3
ENSG00000225698	IGHV6-6
ENSG00000225698	IGHV6-7
ENSG00000225698	IGHV10-3
ENSG00000225698	IGHV7-2
ENSG00000225698	IGHV13-2
ENSG00000225698	IGHV6-3
ENSG00000225698	IGHV7-1
ENSG00000225698	IGHV10-1
ENSG00000225698	IGHV6-5
ENSG00000186265	BTLA
ENSG00000143653	SCCPDH
ENSG00000187555	USP7
ENSG00000173889	PHC3
ENSG00000108826	MRPL27
ENSG00000144357	UBR3
ENSG00000137959	IFI44L
ENSG00000139631	CSAD
ENSG00000116044	NFE2L2
ENSG00000099998	GGT5
ENSG00000183185	GABRR3
ENSG00000177889	UBE2N
ENSG00000108375	RNF43
ENSG00000113248	PCDHB22
ENSG00000149516	MS4A3
ENSG00000126705	AHDC1
ENSG00000130234	ACE2
ENSG00000269307	BABAM1
ENSG00000180530	NRIP1
ENSG00000141756	FKBP10
ENSG00000103426	CORO7
ENSG00000278500	GM28230
ENSG00000204923	FBXO48
ENSG00000166224	SGPL1
ENSG00000166035	LIPC
ENSG00000256407	CYB5RL
ENSG00000214681	IQCF5
ENSG00000120053	GOT1
ENSG00000172053	QARS
ENSG00000257046	SLCO1B2
ENSG00000169340	PDILT
ENSG00000090861	AARS
ENSG00000167333	TRIM68
ENSG00000141837	CACNA1A
ENSG00000126603	GLIS2
ENSG00000133641	4930430F08RIK
ENSG00000164404	GDF9
ENSG00000153113	CAST
ENSG00000179965	ZFP771
ENSG00000282246	PRPF18
ENSG00000184811	TUSC5
ENSG00000107738	VSIR
ENSG00000281039	GGCT
ENSG00000133302	SLF1
ENSG00000090905	TNRC6A
ENSG00000214688	GM17455
ENSG00000134962	KLB
ENSG00000117862	TXNDC12
ENSG00000134389	CFHR1
ENSG00000166896	XRCC6BP1
ENSG00000138780	GSTCD
ENSG00000144233	AMMECR1L
ENSG00000147378	FATE1
ENSG00000176749	CDK5R1
ENSG00000164975	SNAPC3
ENSG00000143028	SYPL2
ENSG00000108010	GLRX3
ENSG00000070476	ZXDC
ENSG00000116641	DOCK7
ENSG00000130038	CRACR2A
ENSG00000101966	XIAP
ENSG00000135045	D030056L22RIK
ENSG00000143514	TRP53BP2
ENSG00000188324	OLFR782
ENSG00000188324	OLFR804
ENSG00000163093	BBS5
ENSG00000205710	4930544D05RIK
ENSG00000167173	1700017B05RIK
ENSG00000130227	XPO7
ENSG00000139266	42438
ENSG00000148826	NKX6-2
ENSG00000110944	IL23A
ENSG00000188064	WNT7B
ENSG00000138592	USP8
ENSG00000013441	CLK1
ENSG00000118939	UCHL3
ENSG00000118939	UCHL4
ENSG00000105229	PIAS4
ENSG00000165259	HDX
ENSG00000104833	TUBB4A
ENSG00000078061	ARAF
ENSG00000152492	CCDC50
ENSG00000162426	SLC45A1
ENSG00000020577	SAMD4
ENSG00000175591	P2RY2
ENSG00000172336	POP7
ENSG00000179097	HTR1F
ENSG00000171302	CANT1
ENSG00000216937	CCDC7A
ENSG00000216937	CCDC7B
ENSG00000135569	TAAR5
ENSG00000175267	VWA3A
ENSG00000164756	SLC30A8
ENSG00000142973	CYP4B1
ENSG00000062485	CSL
ENSG00000062485	CS
ENSG00000103942	HOMER2
ENSG00000171564	FGB
ENSG00000101342	TLDC2
ENSG00000276070	CCL4
ENSG00000109832	DDX25
ENSG00000106665	CLIP2
ENSG00000136758	YME1L1
ENSG00000099399	MAGEB4
ENSG00000204472	AIF1
ENSG00000103202	NME4
ENSG00000179409	GEMIN4
ENSG00000117262	GPR89
ENSG00000099899	TRMT2A
ENSG00000165526	RPUSD4
ENSG00000171115	GIMAP8
ENSG00000112562	SMOC2
ENSG00000163736	PPBP
ENSG00000118513	MYB
ENSG00000103175	WFDC1
ENSG00000026036	RTEL1
ENSG00000189420	ZFP92
ENSG00000197355	UAP1L1
ENSG00000100410	PHF5A
ENSG00000108309	RUNDC3A
ENSG00000076321	KLHL20
ENSG00000111647	UHRF1BP1L
ENSG00000187790	FANCM
ENSG00000101187	SLCO4A1
ENSG00000107833	NPM3
ENSG00000084652	TXLNA
ENSG00000157168	NRG1
ENSG00000004478	FKBP4
ENSG00000148082	SHC3
ENSG00000104327	CALB1
ENSG00000175664	TEX26
ENSG00000050405	LIMA1
ENSG00000185105	MYADML2
ENSG00000204183	GM15557
ENSG00000265817	FSBP
ENSG00000237541	H2-AA
ENSG00000180979	LRRC57
ENSG00000119227	PIGZ
ENSG00000255339	NDUFB8
ENSG00000163516	ANKZF1
ENSG00000168994	PXDC1
ENSG00000152147	GEMIN6
ENSG00000095303	PTGS1
ENSG00000181449	SOX2
ENSG00000185825	BCAP31
ENSG00000037749	MFAP3
ENSG00000158715	SLC45A3
ENSG00000169696	ASPSCR1
ENSG00000091409	ITGA6
ENSG00000170242	USP47
ENSG00000044574	HSPA5
ENSG00000106638	TBL2
ENSG00000172818	OVOL1
ENSG00000169976	SF3B5
ENSG00000213463	SYNJ2BP
ENSG00000142634	EFHD2
ENSG00000134369	NAV1
ENSG00000166167	BTRC
ENSG00000156521	TYSND1
ENSG00000183751	TBL3
ENSG00000109062	SLC9A3R1
ENSG00000112039	FANCE
ENSG00000178125	PPP1R42
ENSG00000147133	TAF1
ENSG00000198598	MMP17
ENSG00000169599	NFU1
ENSG00000184381	PLA2G6
ENSG00000120519	SLC10A7
ENSG00000137672	TRPC6
ENSG00000077150	NFKB2
ENSG00000080293	SCTR
ENSG00000104960	PTOV1
ENSG00000099381	SETD1A
ENSG00000099381	RP23-325D10.3
ENSG00000168672	FAM84B
ENSG00000198498	TMA16
ENSG00000188342	GTF2F2
ENSG00000124490	CRISP2
ENSG00000254553	ZBTB8B
ENSG00000166510	CCDC68
ENSG00000081760	AACS
ENSG00000100897	DCAF11
ENSG00000145861	C1QTNF2
ENSG00000135655	USP15
ENSG00000165496	RPL10L
ENSG00000165861	ZFYVE1
ENSG00000172199	OLFR1044
ENSG00000155792	DEPTOR
ENSG00000157335	CLEC18A
ENSG00000178401	DNAJC22
ENSG00000198576	ARC
ENSG00000168952	STXBP6
ENSG00000075142	SRI
ENSG00000169223	LMAN2
ENSG00000232125	DYTN
ENSG00000259784	AMDHD2
ENSG00000155959	VBP1
ENSG00000187634	SAMD11
ENSG00000150764	DIXDC1
ENSG00000166394	CYB5R2
ENSG00000013374	NUB1
ENSG00000196730	DAPK1
ENSG00000152380	FAM151B
ENSG00000178814	OPLAH
ENSG00000030110	BAK1
ENSG00000158470	B4GALT5
ENSG00000204851	PNMAL2
ENSG00000167371	PRRT2
ENSG00000145604	SKP2
ENSG00000117640	MTFR1L
ENSG00000275993	SIK1
ENSG00000167286	CD3D
ENSG00000188610	FAM72A
ENSG00000086475	SEPHS1
ENSG00000105011	ASF1B
ENSG00000134245	WNT2B
ENSG00000114127	XRN1
ENSG00000172377	OLFR1505
ENSG00000172377	OLFR1502
ENSG00000172377	OLFR1499
ENSG00000161267	BDH1
ENSG00000171241	SHCBP1
ENSG00000110721	CHKA
ENSG00000137752	CASP1
ENSG00000180613	GSX2
ENSG00000161642	ZFP385A
ENSG00000175262	GM572
ENSG00000081277	PKP1
ENSG00000105185	PDCD5
ENSG00000139223	ANP32A
ENSG00000130733	YIPF2
ENSG00000164463	CREBRF
ENSG00000106355	LSM5
ENSG00000103855	CD276
ENSG00000110057	UNC93B1
ENSG00000110171	TRIM3
ENSG00000162645	GBP2B
ENSG00000162645	GBP2
ENSG00000157322	CLEC18A
ENSG00000106484	MEST
ENSG00000116127	ALMS1
ENSG00000110887	DAO
ENSG00000183783	KCTD8
ENSG00000112238	PRDM13
ENSG00000127337	YEATS4
ENSG00000184009	ACTG1
ENSG00000152661	GJA1
ENSG00000176390	CRLF3
ENSG00000267059	UQCR11
ENSG00000133112	TPT1
ENSG00000136144	RCBTB1
ENSG00000127540	UQCR11
ENSG00000196323	ZBTB44
ENSG00000157557	ETS2
ENSG00000170917	NUDT6
ENSG00000205330	OLFR802
ENSG00000205330	OLFR786
ENSG00000103196	CRISPLD2
ENSG00000185513	L3MBTL1
ENSG00000171014	OLFR984
ENSG00000149182	ARFGAP2
ENSG00000183346	1700040L02RIK
ENSG00000016082	ISL1
ENSG00000277481	PKD1L3
ENSG00000120549	ETL4
ENSG00000178913	TAF7
ENSG00000002016	RAD52
ENSG00000112110	MRPL18
ENSG00000198796	ALPK2
ENSG00000119715	ESRRB
ENSG00000214782	MS4A18
ENSG00000187186	GM21586
ENSG00000187186	GM20878
ENSG00000187186	AC087559.2
ENSG00000187186	GM21953
ENSG00000090776	EFNB1
ENSG00000167685	ZFP444
ENSG00000133661	SFTPD
ENSG00000271793	GM20537
ENSG00000188771	PLET1
ENSG00000114982	KANSL3
ENSG00000242612	DECR2
ENSG00000185742	AI593442
ENSG00000204246	OLFR273
ENSG00000197417	SHPK
ENSG00000054654	SYNE2
ENSG00000166938	DIS3L
ENSG00000011638	TMEM159
ENSG00000090470	PDCD7
ENSG00000186073	BC052040
ENSG00000085871	MGST2
ENSG00000180389	ATP5E
ENSG00000122188	LAX1
ENSG00000157890	MEGF11
ENSG00000148734	NPFFR1
ENSG00000251184	NUP188
ENSG00000251184	GM28038
ENSG00000171903	CYP4F40
ENSG00000171903	CYP4F14
ENSG00000171903	CYP4F15
ENSG00000145975	FAM217A
ENSG00000165548	TMEM63C
ENSG00000166483	WEE1
ENSG00000116698	SMG7
ENSG00000105711	SCN1B
ENSG00000127947	PTPN12
ENSG00000101311	FERMT1
ENSG00000278646	GM6268
ENSG00000187135	VSTM2B
ENSG00000160256	FAM207A
ENSG00000133636	NTS
ENSG00000111704	NANOG
ENSG00000155657	TTN
ENSG00000115866	DARS
ENSG00000182901	RGS7
ENSG00000189143	CLDN4
ENSG00000091140	DLD
ENSG00000103363	TCEB2
ENSG00000136710	CCDC115
ENSG00000185518	SV2B
ENSG00000188803	SHISA6
ENSG00000169220	RGS14
ENSG00000169439	SDC2
ENSG00000091542	ALKBH5
ENSG00000224041	IGKV18-36
ENSG00000164749	HNF4G
ENSG00000204006	4930522H14RIK
ENSG00000012983	MAP4K5
ENSG00000088298	EDEM2
ENSG00000124207	CSE1L
ENSG00000168894	RNF181
ENSG00000168092	PAFAH1B2
ENSG00000187720	THSD4
ENSG00000196932	TMEM26
ENSG00000120563	LYZL1
ENSG00000148834	GSTO1
ENSG00000065802	ASB1
ENSG00000185988	PLK5
ENSG00000107187	LHX3
ENSG00000206073	SERPINB3D
ENSG00000206073	SERPINB3A
ENSG00000206073	SERPINB3B
ENSG00000206073	SERPINB3C
ENSG00000138778	CENPE
ENSG00000172260	NEGR1
ENSG00000140450	ARRDC4
ENSG00000047230	CTPS2
ENSG00000188976	NOC2L
ENSG00000214753	HNRNPUL2
ENSG00000138166	DUSP5
ENSG00000113161	HMGCR
ENSG00000165623	UCMA
ENSG00000112282	MED23
ENSG00000181961	OLFR1241
ENSG00000181961	OLFR1245
ENSG00000181961	OLFR1249
ENSG00000181961	OLFR1253
ENSG00000181961	OLFR1252
ENSG00000181961	OLFR1238
ENSG00000181961	OLFR1240
ENSG00000181961	OLFR1250
ENSG00000181961	OLFR1243
ENSG00000181961	OLFR1246
ENSG00000181961	OLFR1247
ENSG00000181961	OLFR1248
ENSG00000181961	OLFR1242
ENSG00000181961	OLFR1251
ENSG00000181961	OLFR1254
ENSG00000128340	RAC2
ENSG00000166313	APBB1
ENSG00000082458	DLG3
ENSG00000100442	FKBP3
ENSG00000174938	SEZ6L2
ENSG00000166797	FAM96A
ENSG00000186510	CLCNKA
ENSG00000186510	CLCNKB
ENSG00000075035	WSCD2
ENSG00000163602	RYBP
ENSG00000106477	CEP41
ENSG00000184956	MUC6
ENSG00000167925	GHDC
ENSG00000173894	CBX2
ENSG00000139437	TCHP
ENSG00000240871	KRTAP4-1
ENSG00000240871	GM11555
ENSG00000240871	KRTAP4-2
ENSG00000240871	KRTAP4-7
ENSG00000240871	GM11563
ENSG00000025708	TYMP
ENSG00000131653	TRAF7
ENSG00000143622	RIT1
ENSG00000116704	SLC35D1
ENSG00000277149	TYW1
ENSG00000075223	SEMA3C
ENSG00000145375	SPATA5
ENSG00000095787	WAC
ENSG00000205669	ACOT6
ENSG00000087053	MTMR2
ENSG00000168010	ATG16L2
ENSG00000218891	ZFP579
ENSG00000180999	4930558K02RIK
ENSG00000054356	PTPRN
ENSG00000131196	NFATC1
ENSG00000085274	MYNN
ENSG00000205754	SLCO1B2
ENSG00000101850	GPR143
ENSG00000165475	CRYL1
ENSG00000176399	DMRTA1
ENSG00000114796	KLHL24
ENSG00000087586	AURKA
ENSG00000148719	DNAJB12
ENSG00000160323	ADAMTS13
ENSG00000087077	TRIP6
ENSG00000110074	FOXRED1
ENSG00000197479	PCDHB19
ENSG00000026508	CD44
ENSG00000185728	YTHDF3
ENSG00000125861	GFRA4
ENSG00000168542	COL3A1
ENSG00000164970	FAM219A
ENSG00000125779	PANK2
ENSG00000178372	CALM4
ENSG00000178372	CALM5
ENSG00000011566	MAP4K3
ENSG00000101425	BPI
ENSG00000215612	HMX1
ENSG00000102172	SMS
ENSG00000170166	HOXD4
ENSG00000142961	MOB3C
ENSG00000174227	PIGG
ENSG00000143222	UFC1
ENSG00000131375	CAPN7
ENSG00000109072	VTN
ENSG00000267206	LCN6
ENSG00000052723	SIKE1
ENSG00000164733	CTSB
ENSG00000125618	PAX8
ENSG00000155957	TMBIM4
ENSG00000105698	USF2
ENSG00000100911	PSME2
ENSG00000100911	PSME2B
ENSG00000139505	MTMR6
ENSG00000155961	RAB39B
ENSG00000068438	FTSJ1
ENSG00000166863	TAC2
ENSG00000110048	OSBP
ENSG00000161905	ALOX15
ENSG00000277745	H2AFB3
ENSG00000125818	PSMF1
ENSG00000170627	GTSF1
ENSG00000130147	SH3BP4
ENSG00000243927	MRPS6
ENSG00000169174	PCSK9
ENSG00000084628	NKAIN1
ENSG00000185591	SP1
ENSG00000169800	GM21677
ENSG00000169800	GM10256
ENSG00000169800	RBMY
ENSG00000169800	GM4064
ENSG00000169800	GM3376
ENSG00000169800	GM21708
ENSG00000169800	GM10352
ENSG00000169800	GM21704
ENSG00000169800	GM21693
ENSG00000169800	GM29289
ENSG00000115289	PCGF1
ENSG00000154654	NCAM2
ENSG00000147160	AWAT2
ENSG00000185650	ZFP36L1
ENSG00000204713	TRIM27
ENSG00000161618	ALDH16A1
ENSG00000222038	ANKRD26
ENSG00000176919	C8G
ENSG00000175121	WFDC5
ENSG00000070366	SMG6
ENSG00000163820	FYCO1
ENSG00000151348	EXT2
ENSG00000063601	MTMR1
ENSG00000147394	ZFP185
ENSG00000122224	LY9
ENSG00000004534	RBM6
ENSG00000165507	8430408G22RIK
ENSG00000114841	DNAH1
ENSG00000158486	DNAH3
ENSG00000166183	ASPG
ENSG00000171456	ASXL1
ENSG00000008988	RPS20
ENSG00000148606	POLR3A
ENSG00000088926	F11
ENSG00000184113	CLDN5
ENSG00000013288	MAN2B2
ENSG00000050344	NFE2L3
ENSG00000215788	TNFRSF25
ENSG00000101639	CEP192
ENSG00000163357	DCST1
ENSG00000165171	WBSCR27
ENSG00000204564	2310061I04RIK
ENSG00000139372	TDG
ENSG00000121053	EPX
ENSG00000099341	PSMD8
ENSG00000169249	ZRSR2
ENSG00000169249	ZRSR1
ENSG00000112640	PPP2R5D
ENSG00000010295	IFFO1
ENSG00000116685	2510039O18RIK
ENSG00000053747	LAMA3
ENSG00000115468	EFHD1
ENSG00000104814	MAP4K1
ENSG00000128713	HOXD11
ENSG00000126266	FFAR1
ENSG00000113300	CNOT6
ENSG00000163879	DNALI1
ENSG00000204859	ZBTB48
ENSG00000145198	VWA5B2
ENSG00000108094	CUL2
ENSG00000026559	KCNG1
ENSG00000188313	1700057G04RIK
ENSG00000188313	PLSCR1
ENSG00000188313	PLSCR2
ENSG00000105398	SULT2A7
ENSG00000105398	SULT2A5
ENSG00000105398	SULT2A4
ENSG00000105398	SULT2A6
ENSG00000105398	SULT2A3
ENSG00000105398	SULT2A8
ENSG00000105398	SULT2A1
ENSG00000147251	DOCK11
ENSG00000213593	TMX2
ENSG00000198842	DUSP27
ENSG00000172995	ARPP21
ENSG00000205929	4932438H23RIK
ENSG00000258986	TMEM179
ENSG00000253710	ALG11
ENSG00000150093	ITGB1
ENSG00000123405	NFE2
ENSG00000118579	MED28
ENSG00000119688	ABCD4
ENSG00000125354	42619
ENSG00000170054	SERPINA9
ENSG00000074935	TUBE1
ENSG00000163840	DTX3L
ENSG00000103995	CEP152
ENSG00000104472	CHRAC1
ENSG00000130045	NXNL2
ENSG00000130748	TMEM160
ENSG00000224916	APOC2
ENSG00000250844	USP17LD
ENSG00000250844	USP17LA
ENSG00000250844	USP17LE
ENSG00000250844	USP17LB
ENSG00000250844	USP17LC
ENSG00000211747	TRBV20
ENSG00000242419	PCDHGA8
ENSG00000265241	RBM8A
ENSG00000265241	RBM8A2
ENSG00000175390	EIF3F
ENSG00000161958	FGF11
ENSG00000164306	PRIMPOL
ENSG00000179941	BBS10
ENSG00000258311	BLOC1S1
ENSG00000126778	SIX1
ENSG00000214954	LRRC69
ENSG00000198794	SCAMP5
ENSG00000205030	OLFR1157
ENSG00000167105	TMEM92
ENSG00000198099	ADH4
ENSG00000180096	42614
ENSG00000077232	DNAJC10
ENSG00000196502	SULT1A1
ENSG00000140474	ULK3
ENSG00000146047	HIST1H2BA
ENSG00000100241	SBF1
ENSG00000144747	TMF1
ENSG00000198719	DLL1
ENSG00000120314	WDR55
ENSG00000170291	ELP5
ENSG00000243646	GM21970
ENSG00000243646	IL10RB
ENSG00000162928	PEX13
ENSG00000153560	UBP1
ENSG00000104320	NBN
ENSG00000076641	PAG1
ENSG00000173914	RBM4B
ENSG00000159363	ATP13A2
ENSG00000103429	BFAR
ENSG00000085514	PILRB2
ENSG00000085514	PILRA
ENSG00000085514	PILRB1
ENSG00000188001	TPRG
ENSG00000187569	DPPA3
ENSG00000182866	LCK
ENSG00000126970	ZC4H2
ENSG00000139990	DCAF5
ENSG00000141741	MIEN1
ENSG00000136859	ANGPTL2
ENSG00000172236	TPSB2
ENSG00000203772	SPRN
ENSG00000164494	PDSS2
ENSG00000160131	VMA21
ENSG00000160131	VMA21-PS
ENSG00000075188	NUP37
ENSG00000129696	TTI2
ENSG00000075618	FSCN1
ENSG00000158955	WNT9B
ENSG00000130332	GM10146
ENSG00000130332	LSM7
ENSG00000151948	GLT1D1
ENSG00000116957	TBCE
ENSG00000256646	PSMA2
ENSG00000103253	HAGHL
ENSG00000149262	INTS4
ENSG00000172478	2310007B03RIK
ENSG00000112293	GPLD1
ENSG00000112333	NR2E1
ENSG00000125648	SLC25A23
ENSG00000120329	SLC25A2
ENSG00000083312	TNPO1
ENSG00000085433	WDR47
ENSG00000127324	TSPAN8
ENSG00000198700	IPO9
ENSG00000218739	CEBPZOS
ENSG00000102385	DRP2
ENSG00000089101	CFAP61
ENSG00000149507	OOSP2
ENSG00000129480	DTD2
ENSG00000196510	ANAPC7
ENSG00000120539	MASTL
ENSG00000101384	JAG1
ENSG00000175287	PHYHD1
ENSG00000169704	GP9
ENSG00000261678	SCRT1
ENSG00000183742	MACC1
ENSG00000118514	ALDH8A1
ENSG00000095203	EPB41L4B
ENSG00000213246	SUPT4A
ENSG00000157119	KLHL40
ENSG00000163513	TGFBR2
ENSG00000038358	EDC4
ENSG00000145337	PYURF
ENSG00000151474	FRMD4A
ENSG00000132963	POMP
ENSG00000184056	VPS33B
ENSG00000075420	FNDC3B
ENSG00000121775	TMEM39B
ENSG00000214686	IQCF6
ENSG00000142864	SERBP1
ENSG00000198363	ASPH
ENSG00000083642	PDS5B
ENSG00000106078	COBL
ENSG00000198538	B020011L13RIK
ENSG00000198538	GM7145
ENSG00000177374	HIC1
ENSG00000079332	SAR1A
ENSG00000087995	METTL2
ENSG00000156282	CLDN17
ENSG00000166130	IKBIP
ENSG00000114554	PLXNA1
ENSG00000120915	EPHX2
ENSG00000171848	RRM2
ENSG00000188038	NRN1L
ENSG00000106089	STX1A
ENSG00000153975	ZUFSP
ENSG00000152292	SH2D6
ENSG00000142619	PADI3
ENSG00000211749	TRBV26
ENSG00000211749	TRBV23
ENSG00000140873	ADAMTS18
ENSG00000179134	SAMD4B
ENSG00000172339	ALG14
ENSG00000206418	RAB12
ENSG00000100335	MIEF1
ENSG00000244045	TMEM199
ENSG00000239382	ALKBH6
ENSG00000256229	ZFP429
ENSG00000256229	ZFP738
ENSG00000256229	ZFP953
ENSG00000256229	ZFP58
ENSG00000256229	ZFP874B
ENSG00000256229	RSLCAN18
ENSG00000256229	ZFP874A
ENSG00000256229	ZFP65
ENSG00000256229	ZFP595
ENSG00000256229	ZFP708
ENSG00000256229	ZFP457
ENSG00000256229	ZFP456
ENSG00000256229	ZFP273
ENSG00000256229	ZFP85
ENSG00000256229	ZFP493
ENSG00000256229	RSL1
ENSG00000256229	ZFP455
ENSG00000256229	GM28557
ENSG00000256229	ZFP87
ENSG00000256229	ZFP458
ENSG00000256229	ZFP72
ENSG00000256229	ZFP459
ENSG00000256229	GM9894
ENSG00000196642	RABL6
ENSG00000100209	HSCB
ENSG00000160310	PRMT2
ENSG00000214050	FBXO16
ENSG00000134802	SLC43A3
ENSG00000205436	EXOC3L4
ENSG00000121579	NAA50
ENSG00000175756	AURKAIP1
ENSG00000135144	DTX1
ENSG00000156110	ADK
ENSG00000049618	ARID1B
ENSG00000187676	B3GLCT
ENSG00000170613	FAM71B
ENSG00000176692	FOXC2
ENSG00000064601	CTSA
ENSG00000175110	MRPS22
ENSG00000115828	QPCT
ENSG00000269437	NXF2
ENSG00000269437	NXF7
ENSG00000158716	DUSP23
ENSG00000188130	MAPK12
ENSG00000124767	GLO1
ENSG00000114120	SLC25A36
ENSG00000155329	ZCCHC10
ENSG00000161653	NAGS
ENSG00000072195	SPEG
ENSG00000130957	FBP2
ENSG00000264424	MYH4
ENSG00000130540	SULT4A1
ENSG00000140403	DNAJA4
ENSG00000132693	CRP
ENSG00000139644	TMBIM6
ENSG00000165819	METTL3
ENSG00000197123	ZFP429
ENSG00000197123	ZFP738
ENSG00000197123	ZFP953
ENSG00000197123	ZFP58
ENSG00000197123	ZFP874B
ENSG00000197123	RSLCAN18
ENSG00000197123	ZFP874A
ENSG00000197123	ZFP65
ENSG00000197123	ZFP595
ENSG00000197123	ZFP708
ENSG00000197123	ZFP457
ENSG00000197123	ZFP456
ENSG00000197123	ZFP273
ENSG00000197123	ZFP85
ENSG00000197123	ZFP493
ENSG00000197123	RSL1
ENSG00000197123	ZFP455
ENSG00000197123	GM28557
ENSG00000197123	ZFP87
ENSG00000197123	ZFP458
ENSG00000197123	ZFP72
ENSG00000197123	ZFP459
ENSG00000197123	GM9894
ENSG00000157884	CIB4
ENSG00000132768	DPH2
ENSG00000049768	FOXP3
ENSG00000108825	GM27029
ENSG00000108825	PTGES3L
ENSG00000144043	TEX261
ENSG00000161133	USP18
ENSG00000139880	CDH24
ENSG00000166387	PPFIBP2
ENSG00000198932	GPRASP1
ENSG00000120075	HOXB5
ENSG00000107186	MPDZ
ENSG00000164853	UNCX
ENSG00000166326	TRIM44
ENSG00000136828	RALGPS1
ENSG00000125485	DDX31
ENSG00000166869	CHP2
ENSG00000136527	TRA2B
ENSG00000198429	2410141K09RIK
ENSG00000198429	GM17576
ENSG00000198429	9030624G23RIK
ENSG00000198429	GM14327
ENSG00000198429	6720489N17RIK
ENSG00000198429	3300002I08RIK
ENSG00000198429	B230307C23RIK
ENSG00000198429	GM10479
ENSG00000198429	GM14295
ENSG00000198429	GM10130
ENSG00000198429	2610044O15RIK8
ENSG00000169933	FRMPD4
ENSG00000006047	YBX2
ENSG00000007944	MYLIP
ENSG00000168621	GDNF
ENSG00000163558	PRKCI
ENSG00000088543	6430571L13RIK
ENSG00000173599	PCX
ENSG00000021574	SPAST
ENSG00000148384	INPP5E
ENSG00000130475	FCHO1
ENSG00000230778	ANKRD63
ENSG00000167693	NXN
ENSG00000162664	ZFP326
ENSG00000185278	ZBTB37
ENSG00000096654	ZFP184
ENSG00000176769	TCERG1L
ENSG00000138036	DYNC2LI1
ENSG00000188725	SMIM15
ENSG00000213853	EMP2
ENSG00000158022	TRIM63
ENSG00000158428	CATIP
ENSG00000174482	LINGO2
ENSG00000204022	LIPO2
ENSG00000204022	LIPO1
ENSG00000204022	GM5097
ENSG00000204022	LIPO4
ENSG00000204022	GM8975
ENSG00000160882	CYP11B2
ENSG00000160882	CYP11B1
ENSG00000157703	SVOPL
ENSG00000169181	GSG1L
ENSG00000113552	GNPDA1
ENSG00000145107	TM4SF19
ENSG00000090382	LYZ2
ENSG00000090382	9530003J23RIK
ENSG00000090382	LYZ1
ENSG00000173267	SNCG
ENSG00000198765	SYCP1
ENSG00000168539	CHRM1
ENSG00000076928	ARHGEF1
ENSG00000120963	ZFP706
ENSG00000127928	GNGT1
