P63101	YWHAZ
Q9D0D3	MTPAP
Q6PB75	PAPD7
Q9WVP6	PAPOLB
Q9JJE4	PAQR4
Q6TCG2	PAQR9
Q8CFF0	PARP11
Q7TMM8	PARP16
Q9JK84	PARD6G
Q99NH2	PARD3
Q8VDG3	PARN
Q6P6P7	PARP6
Q3UD82	PARP8
Q8CAS9	PARP9
Q9EPC1	PARVA
Q9ERD8	PARVG
Q09098	PATE4
P32114	PAX2
Q3TVI8	PBXIP1
Q99NE9	PBX4
Q61990	PCBP2
Q8BFV2	PCID2
Q9Z2V4	PCK1
Q6P8I4	PCNP
P29121	PCSK4
Q5DU28	PCNXL2
Q91ZQ1	PDE6C
O70209	PDLIM3
P70271	PDLIM4
Q8CI51	PDLIM5
Q3TJD7	PDLIM7
Q9Z2A0	PDPK1
Q7TSQ8	PDPR
P32240	PTGER4
Q60963	PLA2G7
Q8VE62	PAIP1
P70261	PALD1
Q68ED3	PAPD5
Q61183	PAPOLA
Q8R4K8	PAPPA
Q8R189	MMD2
P30558	F2R
O88622	PARG
Q5XJY4	PARL
O88554	PARP2
Q8CEE6	PASK
P09084	PAX1
P24610	PAX3
P47239	PAX7
Q02650	PAX5
P47242	PAX9
P58501	PAXBP1
Q00288	PAX8
Q91Y20	PCDHA10
Q91Y02	PCDHB18
P23798	PCGF2
Q3UA06	TRIP13
P59114	PCIF1
Q9R0L6	PCM1
Q9D5U0	LPCAT2B
P49586	PCYT1A
Q02242	PDCD1
P46718	PDCD2
Q78Y63	PDCL2
Q8CA95	PDE10A
Q3TIU4	PDE12
Q01065	PDE1B
Q61409	PDE3B
Q01063	PDE4D
P27664	PDE6A
Q9QXQ1	PDE7B
Q3UV70	PDP1
Q6A026	PDS5A
P52946	PDX1
Q99K01	PDXDC1
Q9DBQ7	SCYL3
Q61644	PACSIN1
Q9WVE8	PACSIN2
P70205	ADCYAP1R1
Q9JIP4	PANX1
Q2EMV9	PARP14
P55086	F2RL1
O08675	F2RL2
Q6IRT3	PARPBP
Q99LX0	PARK7
P11103	PARP1
Q3UW31	PATE2
Q8VI36	PXN
Q8BYI6	LPCAT2
Q8VHR0	PCDH18
Q80TF3	PCDH19
Q8BIZ0	PCDH20
O88689	PCDHA4
Q6PB90	PCDHB14
Q7TSK3	PCDH8
Q99NA9	PCGF6
Q8C7K6	PCYOX1L
P70263	PTGDR
P56812	PDCD5
P12815	PDCD6
Q9Z0X4	PDE3A
O89084	PDE4A
P31240	PDGFB
Q62011	PDPN
P59048	PDRG1
Q9D9M4	PDZD9
P35375	PTGER1
Q08481	PECAM1
Q6P1Z5	PCED1A
Q3URU2	PEG3
O35973	PER1
Q9EQ61	PES1
Q9D0K1	PEX13
Q9R0A0	PEX14
Q8VCI5	PEX19
Q8C437	PEX5L
P97865	PEX7
P61759	VBP1
Q923D3	PARM1
B3GLJ3	PATE3
Q3TC46	PATL1
Q925B0	PAWR
P63015	PAX6
Q6NZQ4	PAXIP1
Q8K0Y7	PAXX
Q9D0B6	PBDC1
O35984	PBX2
P57724	PCBP4
Q99MN9	PCCB
Q6PEM8	SLC46A1
P59913	PCMTD1
Q8BHD8	PCMTD2
P12660	PCP2
P63054	PCP4
Q7TMR0	PRCP
Q80W65	PCSK9
Q8VI59	PCNXL3
Q3UVY5	PCNXL4
Q8VE70	PDCD10
Q61823	PDCD4
Q9WTY1	PDCD7
P0C1Q2	PDE11A
Q61481	PDE1A
P08003	PDIA4
Q9DAN1	PDILT
Q8BG81	POLDIP3
Q8BFP9	PDK1
O70571	PDK4
O70400	PDLIM1
Q4VA53	PDS5B
Q8K183	PDXK
P30557	PTGER3
Q8VIK5	PEAR1
Q8C669	PELI1
Q6NSR8	NPEPL1
O70361	PER3
Q6Y7W8	GIGYF2
P43117	PTGFR
O70250	PGAM2
Q9DB60	FAM213B
Q8CEG0	PANX3
O88428	PAPSS2
O35317	PBX3
Q3TFD2	LPCAT1
Q91ZA3	PCCA
Q91XY4	PCDHGA4
A9Q751	CFAP221
Q8R023	PCGF1
Q3UK78	PCGF5
Q3UBG2	PID1
Q9QYX7	PCLO
Q8R4W6	PCOLCE2
Q9QXV0	PCSK1N
Q9JMD3	STARD10
Q9QYC1	PCNX
Q9EP73	CD274
Q9WUL5	PDCD1LG2
O55057	PDE6D
P70453	PDE7A
E9Q4S1	PDE8B
O70628	PDE9A
Q8CI19	PDGFC
P09103	P4HB
D3Z6P0	PDIA2
Q922R8	PDIA6
Q91VA6	POLDIP2
Q8QZR7	PDIK1L
Q8R1G6	PDLIM2
Q62053	PTGER2
Q69Z38	PEAK1
Q8VIN1	PBP2
Q99MZ7	PECR
Q8BFY6	PEF1
Q7TN75	PEG10
Q8BST6	PELI2
Q80X73	PELO
O54943	PER2
Q9QXY9	PEX3
O09012	PEX5
Q9CWM4	PFDN1
Q9WUA3	PFKP
Q3TQR0	PGAP2
Q8BZF8	PGM5
Q8CHP8	PGP
A1A547	PGLYRP3
Q64028	PHC1
Q811Q9	PCYT1B
Q922E4	PCYT2
P23440	PDE6B
P27773	PDIA3
Q921X9	PDIA5
O35417	PDYN
Q9CQH0	PDZK1IP1
Q9QY39	PDZD4
Q9D9G2	PEBP4
Q8BGX1	PCED1B
P97298	SERPINF1
Q61907	PEMT
Q8CIW5	PEO1
Q149B8	PERM1
P35419	TPO
B1AUE5	PEX10
Q03958	PFDN6
Q9DBJ1	PGAM1
Q8BX10	PGAM5
P22437	PTGS1
P09411	PGK1
Q99L02	PAGR1A
Q8CHE4	PHLPP1
Q8BXA7	PHLPP2
Q9DBX2	PDCL
Q8R2H9	PHOSPHO1
Q9QW08	PDC
Q9CZL5	PCBD2
Q9CZG9	PDZD11
Q62048	PEA15
Q11136	PEPD
P49290	EPX
P15331	PRPH
O70591	PFDN2
Q9WU28	PFDN5
Q91YL7	CWH43
Q05793	HSPG2
Q61282	ACAN
Q8BWM0	PTGES2
P26618	PDGFRA
P09041	PGK2
Q9CWB5	PGPEP1L
Q9ESW8	PGPEP1
O88593	PGLYRP1
P28654	DCN
Q8K0G7	PHGR1
Q9DB30	PHKG2
Q62392	PHLDA1
Q9QZ09	PHTF1
P15973	PHXR1
Q80SX8	PIF1
Q9R1S3	PIGN
Q9JHG1	PIGP
P06803	PIM1
Q9CQF9	PCYOX1
Q9Z2J6	PTGDR2
Q8C5N5	PDCD2L
Q8BFQ8	PDDC1
Q922S4	PDE2A
Q3UEI1	PDE4C
Q8CG03	PDE5A
Q9JK42	PDK2
Q922H2	PDK3
Q8CAE9	PODXL2
Q08024	CBFB
P70296	PEBP1
Q9CQR7	PSENEN
P22005	PENK
P10820	PRF1
P11247	MPO
Q9JK95	PERP
Q99MR1	GIGYF1
P47857	PFKM
P05622	PDGFRB
Q8BUY9	PGGT1B
Q501J7	PHACTR4
Q9D4H9	PHF14
Q9Z1B8	PHF1
Q8BSN5	PHF23
O08969	PHLDA2
Q6PEB6	MOB4
Q3U6Q4	PIK3R6
O70172	PIP4K2A
Q9JJQ0	PIGB
O09101	PIGF
Q5M9N4	PIGH
Q8C2R7	PIGM
O70570	PIGR
Q6PD26	PIGS
Q8BXQ2	PIGT
Q7TPN3	PIGV
Q8BTP0	PIGZ
O35691	PNN
P70314	PITX1
Q2EG98	PKD1L3
Q9JLG4	PKD2L2
Q8VI78	PLA1A
Q8BXR6	PELI3
Q9DBD5	PELP1
Q9D7R7	PGC
Q9R269	PPL
Q8VC48	PEX12
Q91XC9	PEX16
P55098	PEX2
Q99LC9	PEX6
Q6ZPK0	PHF21A
P12382	PFKL
Q61361	BCAN
Q6PE55	PDGFRL
Q9D0F9	PGM1
Q8VCS0	PGLYRP2
Q0VB07	PGLYRP4
Q9JHK4	RABGGTA
Q8BVM9	PHF11A
P16331	PAH
Q3U1F9	PAG1
Q2M3X8	PHACTR1
Q8BYK5	PHACTR3
Q9JJT9	PHAX
Q9D8M7	PHF10
Q8K2W6	PHF13
Q9D4J7	PHF6
P07934	PHKG1
Q9D9M5	PHOSPHO2
P70182	PIP5K1A
Q8C5D8	PIAS2
Q9JM05	PIAS4
Q9D9W1	PIFO
Q9CXR4	PIGC
Q9JJI6	PIGO
Q8C398	PIGW
Q99LV7	PIGX
Q2YFS1	PILRB2
Q9QUR7	PIN1
P53810	PITPNA
Q9D711	PIR
Q00286	POU1F1
Q6ZPQ6	PITPNM2
Q9QYE9	PLEKHB1
Q8R0J1	PLEKHG6
P97350	PKP1
Q9JI48	PLAC8
Q9QYE0	PLAG1
Q02257	JUP
Q8VCI0	PLBD1
Q07832	PLK1
Q60806	PLK3
Q4FZD7	PLK5
Q9R0B9	PLOD2
Q91WW7	PNPLA3
Q9D4F2	PLPP6
Q7TME0	PLPPR4
Q922V4	PLRG1
Q9JIZ9	PLSCR3
Q5BL07	PEX1
Q8BGI5	PEX26
Q8C966	PHF21B
Q9EPR2	PLA2G12A
Q3UUQ7	PGAP1
A2A559	PGAP3
Q8VCC1	HPGD
Q05769	PTGS2
Q8BYB9	POGLUT1
Q8CAA7	PGM2L1
Q7TSV4	PGM2
Q8BHF7	PGS1
O55022	PGRMC1
Q80UU9	PGRMC2
P53612	RABGGTB
O35129	PHB2
P70669	PHEX
A6H5X4	PHF11
Q8BLG0	PHF20
Q9WTU0	PHF2
Q8VDD9	PHIP
Q9WV95	PHLDA3
Q6PDH0	PHLDB1
O70362	GPLD1
P08399	PHXR5
E9Q3L2	PI4KA
Q5SX19	PIGL
Q9CQJ2	PIH1D1
Q9CWW6	PIN4
Q9CZX5	PINX1
Q8BSF4	PISD
Q9JMB7	PIWIL1
Q8R526	PKD1L1
Q7TN88	PKD1L2
A2A259	PKD2L1
Q5RJI4	PKDCC
O35245	PKD2
Q9ERS5	PLEKHA2
Q7TQG1	PLEKHA6
Q9QZC7	PLEKHB2
Q4VAC9	PLEKHG3
Q66T02	PLEKHG5
P70268	PKN1
Q8K045	PKN3
Q9CWV6	PRKRIP1
Q08EJ0	PLAC8L1
Q9D517	AGPAT3
Q8K4X7	AGPAT4
Q8CGN5	PLIN1
Q8BVZ1	PLIN5
Q64702	PLK4
Q9DCU2	PLLP
Q7TPB0	PLPPR3
Q99P27	PLA2G12B
Q9CXG9	PHF19
Q80TL4	PHF24
P83870	PHF5A
Q8K1N2	PHLDB2
Q9DAK9	PHPT1
A6H619	PHRF1
Q62066	PHOX2A
Q9ET66	PI16
Q80XI4	PIP4K2B
Q91XU3	PIP4K2C
O70161	PIP5K1C
Q6U7H8	PIP5KL1
P59644	INPP5J
E2JF22	PIEZO1
Q8CD54	PIEZO2
Q64323	PIGA
P0C1P0	PIGY
P58750	PIM3
P23506	PCMT1
P02816	PIP
Q3UHE1	PITPNM3
Q6PF93	PIK3C3
Q8BTI9	PIK3CB
Q9Z0T6	PKDREJ
Q80W71	PLEKHA8
Q8C115	PLEKHH2
Q62028	PLA2R1
Q8K262	PLAC9
O35083	AGPAT1
Q8K3K7	AGPAT2
Q9Z126	PF4
Q9R0E2	PLOD1
Q8BJ56	PNPLA2
Q32LZ8	PNPLA5
Q3TRM4	PNPLA6
Q8K1N1	PNPLA8
Q8BJ52	PLPPR5
Q80UG2	PLXNA4
O70579	SLC25A17
P28653	BGN
P67778	PHB
Q9QWH1	PHC2
Q8CHP6	PHC3
Q5SPL2	PHF12
Q9DAG9	PHF7
Q80TJ7	PHF8
Q8BGT8	PHYHIPL
Q8CB19	PHTF2
P15972	PHXR2
Q8K0S0	PHYHIP
Q8BS03	PI15
Q5SW28	PIK3R5
Q8BKC8	PI4KB
P70181	PIP5K1B
Q6P1B3	PIANP
O88907	PIAS1
Q9QYT7	PIGQ
Q8K358	PIGU
Q8CHR9	PIH1D2
Q3KNI6	PIH1D3
Q2YFS2	PILRB
Q9CQD7	PINLYP
Q8BFY0	PIRT
Q8BWR2	PITHD1
O35954	PITPNM1
P97474	PITX2
Q8CDG1	PIWIL2
Q80U04	PJA2
O35904	PIK3CD
Q9JHG7	PIK3CG
O08852	PKD1
Q8BUL6	PLEKHA1
Q3UIL6	PLEKHA7
Q6KAU7	PLEKHG2
Q80TI1	PLEKHH1
Q9D240	PLEKHJ1
Q80ZA4	PKHD1L1
Q9JIY0	PLEKHO1
Q8K124	PLEKHO2
Q8BG99	PKNOX2
Q9QY23	PKP3
Q9JKL1	PROKR1
Q8K458	PROKR2
P27612	PLAA
Q8K4S1	PLCE1
Q4KWH5	PLCH1
A2AP18	PLCH2
Q8K394	PLCL2
P97813	PLD2
Q8VE85	PRELID3A
Q91ZV7	PLXDC1
Q9WV52	PLEK2
P49764	PGF
Q9DAX2	PLPP2
Q8BFZ2	PLPPR1
Q9JJ00	PLSCR1
Q8BW41	POMGNT2
Q8CC86	NAPRT
P25425	POU2F1
P31362	POU2F3
Q07916	POU6F1
P20263	POU5F1
Q7TQ62	PODN
Q91X05	NPHS2
Q9R0M4	PODXL
Q80TC5	POGK
Q8VD65	PIK3R4
O54714	PIAS3
Q7M6Y3	PICALM
Q62083	PICK1
Q9ERV7	PIDD1
Q99MQ3	PINK1
Q8K4R4	PITPNC1
O35160	PITX3
Q8CGT6	PIWIL4
Q0ZLH2	PJVK
Q9DCE5	PAK1IP1
P42337	PIK3CA
Q9ERS4	PLEKHA3
Q8VC98	PLEKHA4
Q3TB82	PLEKHF1
Q91WB4	PLEKHF2
Q8VCE9	PLEKHH3
Q8C886	PLEKHN1
Q8BW88	PLEKHS1
Q9JI83	PLAC1
Q3TTY0	PLB1
Q62077	PLCG1
Q3USB7	PLCL1
Q8BLJ3	PLCXD3
Q8K4D7	PLCZ1
Q8BG07	PLD4
Q5SWZ9	PLD6
P20918	PLG
Q9R0E1	PLOD3
Q61469	PLPP1
Q99JY8	PLPP3
Q91WB2	PLPP7
P60487	PDXP
Q3V0K9	PLS1
Q61233	LCP1
Q9QY40	PLXNB3
Q9QZC2	PLXNC1
Q3UH93	PLXND1
Q9JLV6	PNKP
Q8BHK0	PNMA2
P23492	PNP
Q9CR73	PNRC2
Q9JJN0	POLH
P52430	PON1
Q62086	PON2
Q9DCH2	POP7
Q91VC7	PPP1R14A
P61458	PCBD1
P15974	PHXR4
O35690	PHOX2B
Q9DB26	PHYHD1
P43252	PTGIR
Q2YFS3	PILRA
Q62070	PIM2
P53811	PITPNB
O55176	PJA1
Q8BM47	PLEKHM3
O70477	PKNOX1
Q9Z1B3	PLCB1
Q8R3B1	PLCD1
Q8K2J0	PLCD3
Q9D1E8	AGPAT5
Q8CIH5	PLCG2
Q9JHK5	PLEK
B2RPU2	PLEKHD1
P53351	PLK2
Q3V1D5	PNPLA1
Q8VCY8	PLPPR2
Q9DCW2	PLSCR2
P58196	PLSCR4
Q99K51	PLS3
Q60953	PML
Q9D1G2	PMVK
Q69ZP3	PNKD
Q5DTT8	PNMA5
P40935	PNMT
Q91XF0	PNPO
Q9QY81	NUP210
Q00196	POU2F2
P21952	POU3F1
Q8BJI4	POU6F2
Q62087	PON3
Q9ES81	POPDC3
Q9WUP4	SRD5A3
Q3UMT1	PPP1R12C
Q9CW07	PPP1R3G
Q8R4S0	PPP1R14C
Q8VHQ3	PPP1R16B
P63087	PPP1CC
Q8R3G1	PPP1R8
Q8C0Y0	PPP4R4
Q8R3Q2	PPP6R2
Q05117	ACP5
P23204	PPARA
P09242	ALPL
Q9CR37	PPDPF
Q7TSI1	PLEKHM1
Q80TQ5	PLEKHM2
Q8BWW9	PKN2
Q68FH0	PKP4
Q3TCN2	PLBD2
A3KGF7	PLCB2
P51432	PLCB3
Q8K3R3	PLCD4
Q8CHS4	PLCXD1
Q9Z280	PLD1
Q9CYY7	PRELID3B
O35405	PLD3
Q9QXS1	PLEC
Q8VEN2	PLET1
P43883	PLIN2
Q9DBG5	PLIN3
A2AJ88	PNPLA7
P55065	PLTP
Q91X88	POMGNT1
P16646	PMP22
Q8JZW8	PNMA3
Q9CPS7	PNO1
P17208	POU4F1
Q9ES82	POPDC2
Q91Z22	TMEM123
Q8BVT6	PP2D1
Q8VDG5	PPCS
O35655	PPEF1
A2AR02	PPIG
Q9QZ67	PPM1D
Q8BVQ5	PPME1
Q9EPX2	PAPLN
Q9JII2	PRL5A1
O54831	PRL7A2
Q9CRB5	PRL7C1
Q9D1C3	PYURF
Q61878	PRG2
Q9JM99	PRG4
P54279	PMS2
Q9ESG9	PKMYT1
A2AJT4	PNISR
Q8C1C8	PNMA1
Q80VM8	PNMAL1
Q8K1R3	PNPT1
P31361	POU3F3
Q8JZX3	POC1A
Q9DBS8	POC5
Q8BZH4	POGZ
P10400	POL
Q6R3M4	POLI
Q9QUG2	POLK
Q7TT52	PPP1R14D
Q923M0	PPP1R16A
Q8K1L5	PPP1R11
P48453	PPP3CB
Q7TSI3	PPP6R1
Q922D4	PPP6R3
P24369	PPIB
P30412	PPIC
P51175	PPOX
Q60829	PPP1R1B
Q99MR9	PPP1R3A
Q8BRJ4	PPP1R3E
O35448	PPT2
Q91VJ5	PQBP1
Q80XM9	PQLC1
Q8C6U2	PQLC3
Q8JZM2	PRR15L
B0QZF7	PROCA1
Q00LT2	PRCD
A2AGX3	PRDM11
Q61171	PRDX2
O08807	PRDX4
Q8K411	PITRM1
Q69ZK0	PREX1
Q9JL95	PRG3
Q8VHJ7	PPARGC1B
Q6P1E7	PRIMPOL
Q9WVS6	PARK2
Q0VBB0	PRELID2
P07978	PRM2
Q91VC4	PLVAP
P70207	PLXNA2
Q60696	PMEL
Q9D7R2	PMEPA1
Q9CPV5	PMF1
Q9Z2M7	PMM2
Q64387	PNOC
Q8K3Z9	POM121
P31360	POU3F2
Q9ES83	BVES
P62715	PPP2CB
P63328	PPP3CA
P97470	PPP4C
Q8CE08	ACPP
P35396	PPARD
P24822	IAP
Q9QUR6	PREP
P16675	CTSA
Q9D0W5	PPIL1
P49443	PPM1A
Q8CGA0	PPM1F
Q61074	PPM1G
Q3UYC0	PPM1H
Q8BHN0	PPM1L
Q148A4	PPP1R32
Q8C767	PPP1R3B
Q9JIG4	PPP1R3F
Q9JHK0	PRL2A1
P04768	PRL2C3
Q9QUN5	PRL3C1
Q9R1C7	PRPF40A
P04769	PRL7D1
Q9DAS4	PRL8A8
Q9JIG8	PRAF2
Q8R5J9	ARL6IP5
O55103	PRX
E9Q3T6	PRDM14
A2A935	PRDM16
P20108	PRDX3
O08709	PRDX6
O70343	PPARGC1A
Q3U5C7	PRICKLE1
Q922R0	PRKX
Q08501	PRLR
P06879	PRL
Q9Z2Y8	PROSC
Q8BII1	PROX2
Q9DC48	CDC40
Q99KP6	PRPF19
Q3UNN8	PLD5
O88492	PLIN4
Q9Z239	FXYD1
Q9R1Q7	PLP2
P97819	PLA2G6
Q0VBU9	PLPP4
Q3UMZ3	PLPP5
Q9D3P8	PLGRKT
P70206	PLXNA1
P70208	PLXNA3
Q8CJH3	PLXNB1
B2RXS4	PLXNB2
Q9WVQ0	PMFBP1
P15327	BPGM
O35621	PMM1
Q63955	POU4F3
Q8K4L4	POF1B
Q9CQT5	POMP
Q8BGQ4	POMT2
Q9DB28	POP5
Q9JJJ7	PORCN
Q62009	POSTN
Q91WC1	POT1
P62141	PPP1CB
P48455	PPP3CC
Q0VGB7	PPP4R2
P24638	ACP2
P37238	PPARG
Q8C167	PREPL
Q9QZH3	PPIE
Q99KR7	PPIF
Q149T7	PPM1J
Q8BU27	PPM1M
Q8BGL1	PPM1N
Q8BQ30	PPP1R18
Q6NZN1	PPRC1
O88531	PPT1
Q8BFW3	PPP1R15B
P33610	PRIM2
Q80VL3	PRICKLE3
P62962	PFN1
Q9QXU7	PROK2
O54990	PROM1
P15499	PRPH2
Q99PW4	TP53RK
Q9D7G0	PRPS1
Q3V0I2	PRR7
Q6PE13	PRRT3
Q06348	PRRX2
Q3UKY7	PRSS38
Q9D9M0	PRSS52
Q2EY15	PRTG
P62515	POU3F4
Q9DAC9	POU5F2
Q63934	POU4F2
Q8BHD1	POC1B
Q5K2P8	PRSS36
Q8R2R1	POMT1
Q6P3Y9	PODNL1
Q62084	PPP1R14B
P62137	PPP1CA
Q3UM45	PPP1R7
Q80W00	PPP1R10
P53808	PCTP
O35385	PPEF2
Q8K2H1	PPHLN1
P17742	PPIA
Q9D787	PPIL2
Q9D6L8	PPIL3
Q9CXG3	PPIL4
P36993	PPM1B
Q8BXN7	PPM1K
Q9ERT9	PPP1R1A
Q9D119	PPP1R27
Q68FM6	ELFN2
Q8BKR5	PPP1R37
Q7TMB3	PPP1R3C
Q8R1Z4	PPP1R42
Q6NVE9	PPTC7
P04095	PRL2C2
Q4FK66	PRPF38A
Q80SY5	PRPF38B
Q9Z0S9	RABAC1
Q7TSC1	PRRC2A
Q7TPM1	PRRC2B
Q8BZ97	PRDM8
Q96EQ9	PRDM9
P20664	PRIM1
Q6VMN6	PRLHR
Q9WU79	PRODH
Q9D6I3	PFN4
Q3UUY6	PROM2
Q9CQW3	PROZ
B9EKR1	PTPRZ1
Q9D1T5	PRR15
A2AFE9	PRR32
Q3UPH1	PRRC1
E9PUL5	PRRT2
P63013	PRRX1
P62334	PSMC6
Q9DAA4	PRSS37
Q5PRE5	PROSER1
Q9D820	PRORSD1
Q80ZC9	PSORS1C2
P99026	PSMB4
P63330	PPP2CA
Q8K2V1	PPP4R1
Q9D358	ACP1
Q9CR16	PPID
Q9D868	PPIH
P97814	PSTPIP1
Q80W14	PRPF40B
O35256	PRL4A1
O35257	PRL6A1
Q9DAY2	PRL8A6
Q6BCL1	PRAM1
A2AJ77	PRDM12
Q9CXE0	PRDM5
P99029	PRDX5
Q9WUQ2	PREB
Q9WTX2	PRKRA
Q8VCZ9	PRODH2
P97458	PROP1
Q08761	PROS1
Q8BM39	PRPF18
Q9CS42	PRPS2
Q8BHE0	PRR11
Q9CQJ5	PRR13
Q6PAN7	PRR18
A2AVJ5	PRR5L
Q924N9	PRSS28
Q9QYZ9	PRSS30
A6H6T1	PRSS40
Q920S2	PRSS41
Q402U7	PRSS44
Q571E5	PRSS53
Q7M756	PRSS54
Q8C5R2	PROSER2
Q61096	PRTN3
Q9R1P4	PSMA1
Q9QUM9	PSMA6
P28063	PSMB8
P28076	PSMB9
Q8BP40	ACP6
P24823	ALPPL2
Q9D6D8	PPIL6
Q99M15	PSTPIP2
P61014	PLN
Q80TL0	PPM1E
Q9Z2E4	PPP1R17
Q3TDD9	PPP1R21
Q6A025	PPP1R26
Q8CEC6	PPWD1
P09586	PRL3B1
P18121	PRL3D1
O54830	PRL7A1
Q9CQ58	PRL8A9
Q80XD8	PRAP1
Q3UTQ7	PRDM10
Q91VJ2	PRKCDBP
Q60636	PRDM1
P35700	PRDX1
Q9JK53	PRELP
Q3LAC4	PREX2
Q80Y24	PRICKLE2
Q8R107	PRELID1
P33587	PROC
B1ARI9	PRR29
Q14B24	PRSS57
Q8BW11	PRSS58
O88685	PSMC3
P46471	PSMC2
Q8BIW1	PRUNE
Q9R1P0	PSMA4
Q9Z2U1	PSMA5
Q9CWH6	PSMA8
Q11011	NPEPPS
O35955	PSMB10
Q9D8W5	PSMD12
Q5DTT2	PSD
Q8BLR5	PSD4
O35593	PSMD14
Q9CZ15	GINS1
Q99JF8	PSIP1
Q5SSW2	PSME4
Q9CZH3	PSMG3
Q60676	PPP5C
Q9CQR6	PPP6C
Q8BKK4	PPP1R1C
Q9D8C8	PPP1R35
D3Z0R2	PPP1R36
P17564	PPP1R15A
Q9DAZ2	PRL2B1
Q8CGZ9	PRL7B1
Q99K43	PRC1
Q3TLH4	PRRC2C
E9PZZ1	PRDM13
Q80V63	PRDM4
Q3UZD5	PRDM6
Q00175	PGR
Q810F0	PRIMA1
P04925	PRNP
P97313	PRKDC
P11680	CFP
P48437	PROX1
P05143	PRP2
Q8CCF0	PRPF31
Q8K2Z2	PRPF39
Q80WM7	PRSS33
O70169	PRSS39
Q8VIF2	PRSS42
Q8K4I7	PRSS45
Q5M8S2	PRSS46
Q14B25	PRSS48
P62192	PSMC1
Q14BX2	PRSS55
O70435	PSMA3
Q8BG41	PSMB11
Q9R1P1	PSMB3
O35522	PSMB9
Q9D600	GINS2
P97372	PSME2
P17225	PTBP1
Q91Z31	PTBP2
Q91YR9	PTGR1
Q8VDQ1	PTGR2
P05142	PRH1
Q62100	PRM3
Q9QUG3	PRND
Q9JJV2	PFN2
Q9DAD6	PFN3
Q61136	PRPF4B
Q7TPN9	PRR14
Q9D9B7	PRR30
Q8C494	PRR33
Q812A5	PRR5
B2RU40	PRRT4
Q8BJR6	PRSS27
P32848	PVALB
O55234	PSMB5
Q60692	PSMB6
P70195	PSMB7
Q9CY94	GINS3
P14685	PSMD3
Q99JI4	PSMD6
Q61038	GPR65
P0C6B2	PTCRA
O35074	PTGIS
Q8BW00	PTRH1
P26350	PTMA
A2ALK8	PTPN3
P29351	PTPN6
O35239	PTPN9
Q14A28	PROK1
Q9DAW6	PRPF4
Q91YR7	PRPF6
Q99PV0	PRPF8
Q922U1	PRPF3
E9PYL2	PRR12
Q811B5	PRR3
Q8BV84	PRR9
O35449	PRRT1
Q99MS4	PRSS29
Q8C0F9	PRSS35
F2YMG0	PRSS56
P54775	PSMC4
P62196	PSMC5
Q7TSA6	PROSER3
Q9ESD1	PRSS8
P49722	PSMA2
Q9Z2U0	PSMA7
P26516	PSMD7
Q9CX56	PSMD8
P61290	PSME3
Q9JK23	PSMG1
Q60866	PTER
Q9D0J8	PTMS
Q62136	PTPN21
P29352	PTPN22
Q9WU22	PTPN4
P06800	PTPRC
P49446	PTPRE
P35822	PTPRK
P28828	PTPRM
P0C5E4	PTPRQ
Q62132	PTPRR
Q99M80	PTPRT
P70289	PTPRV
Q5SUR0	PFAS
Q9D6X6	PRSS23
Q52KR3	PRUNE2
O09061	PSMB1
P57096	PSCA
Q9Z2X2	PSMD10
Q6P1I6	PSD2
Q9EST4	PSMG2
P50405	SFTPB
Q8BHD7	PTBP3
Q8C2E4	PTCD1
O09114	PTGDS
Q91V95	PTH2R
Q8R2Y8	PTRH2
Q64512	PTPN13
Q61152	PTPN18
O55082	PTPN20
Q6RUU0	PTX4
Q9R1P3	PSMB2
Q8BG32	PSMD11
Q9WVJ2	PSMD13
Q2PFD7	PSD3
Q3TXS7	PSMD1
Q8VDM4	PSMD2
Q8BJY1	PSMD5
P97371	PSME1
Q8BHL8	PSMF1
Q61144	PSEN2
Q8R326	PSPC1
P21841	SFTPC
O70300	PSPN
Q9D0P7	PSRC1
Q61115	PTCH1
P35235	PTPN11
P35821	PTPN1
P80560	PTPRN2
P18052	PTPRA
B2RU80	PTPRB
Q8R143	PTTG1IP
P28650	ADSSL1
P46664	ADSS
Q9DC11	PLXDC2
Q9JJW0	PXMP4
Q05920	PC
Q9WUB3	PYGM
B9EKX1	PTCHD4
P22858	PTHLH
Q91VU8	PTOV1
Q05909	PTPRG
Q60673	PTPRN
E9Q612	PTPRO
B0V2N1	PTPRS
D3Z4S3	PTRHD1
Q9CQJ7	PTTG1
Q80U78	PUM1
P42669	PURA
A2ADA5	PUSL1
Q8JZU6	PXDC1
Q8K459	PXT1
O35435	DHODH
O35226	PSMD4
Q9CR00	PSMD9
P0C7N9	PSMG4
P49769	PSEN1
Q8BP74	PSTK
Q62035	PTAFR
Q8R3K3	PTCD2
Q14C51	PTCD3
P41593	PTH1R
Q811G0	BBS9
Q14B62	PTCHD1
Q8BKG3	PTK7
Q62130	PTPN14
P54830	PTPN5
Q66GT5	PTPMT1
Q64487	PTPRD
A2A8L5	PTPRF
Q64455	PTPRJ
B1AUH1	PTPRU
Q64737	GART
Q8R4E6	PURG
P32507	PVRL2
Q8BU03	PWP2
P0DJE0	PET100
P0DJF2	PET117
O35595	PTCH2
Q64697	PTPRCAP
O08586	PTEN
Q9QX98	PTF1A
Q9D9A7	PTGES3L
Q9JM51	PTGES
Q0EEE2	PTCHD3
Q06180	PTPN2
